"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"285",2015-01-28,"10:36",1,0,0,"roel alleen",2015-01-28 10:36:00,1
"286",2015-01-28,"09:04",1,0,0,"roel alleen",2015-01-28 09:04:00,1
"287",2015-01-27,"10:16",1,0,0,"roel alleen",2015-01-27 10:16:00,1
"288",2015-01-26,"13:43",1,0,0,"roel alleen",2015-01-26 13:43:00,1
"289",2015-01-26,"09:03",1,0,0,"roel alleen",2015-01-26 09:03:00,1
"290",2015-01-25,"15:39",1,0,0,"roel alleen",2015-01-25 15:39:00,1
"291",2015-01-25,"10:23",1,0,0,"roel alleen",2015-01-25 10:23:00,1
"292",2015-01-25,"10:18",1,0,0,"roel alleen",2015-01-25 10:18:00,1
"293",2015-01-24,"11:22",1,0,0,"roel alleen",2015-01-24 11:22:00,1
"294",2015-01-24,"11:13",1,0,0,"roel alleen",2015-01-24 11:13:00,1
"295",2015-01-23,"15:10",1,0,0,"roel alleen",2015-01-23 15:10:00,1
"296",2015-01-23,"10:48",1,0,0,"roel alleen",2015-01-23 10:48:00,1
"297",2015-01-23,"09:20",1,0,0,"roel alleen",2015-01-23 09:20:00,1
"298",2015-01-22,"10:14",1,0,0,"roel alleen",2015-01-22 10:14:00,1
"299",2015-01-21,"13:32",1,0,0,"roel alleen",2015-01-21 13:32:00,1
"300",2015-01-21,"11:01",1,0,0,"roel alleen",2015-01-21 11:01:00,1
"301",2015-01-21,"10:18",1,0,0,"roel alleen",2015-01-21 10:18:00,1
"302",2015-01-20,"16:48",1,0,0,"roel alleen",2015-01-20 16:48:00,1
"303",2015-01-20,"15:47",1,0,0,"roel alleen",2015-01-20 15:47:00,1
"304",2015-01-20,"10:10",1,0,0,"roel alleen",2015-01-20 10:10:00,1
"305",2015-01-20,"09:11",1,0,0,"roel alleen",2015-01-20 09:11:00,1
"306",2015-01-19,"11:40",1,0,0,"roel alleen",2015-01-19 11:40:00,1
"307",2015-01-19,"11:02",1,0,0,"roel alleen",2015-01-19 11:02:00,1
"308",2015-01-19,"10:15",1,0,0,"roel alleen",2015-01-19 10:15:00,1
"309",2015-01-18,"15:47",1,0,0,"roel alleen",2015-01-18 15:47:00,1
"310",2015-01-18,"10:45",1,0,0,"roel alleen",2015-01-18 10:45:00,1
"311",2015-01-18,"10:10",1,0,0,"roel alleen",2015-01-18 10:10:00,1
"312",2015-01-17,"11:35",1,0,0,"roel alleen",2015-01-17 11:35:00,1
"313",2015-01-17,"11:25",1,0,0,"roel alleen",2015-01-17 11:25:00,1
"314",2015-01-17,"08:34",1,0,0,"roel alleen",2015-01-17 08:34:00,1
"315",2015-01-16,"13:42",1,0,0,"roel alleen",2015-01-16 13:42:00,1
"316",2015-01-16,"11:09",1,0,0,"roel alleen",2015-01-16 11:09:00,1
"317",2015-01-15,"14:08",1,0,0,"roel alleen",2015-01-15 14:08:00,1
"318",2015-01-14,"17:36",1,0,0,"roel alleen",2015-01-14 17:36:00,1
